year,month,cve,type,title,description,date
2009,1,Genesis Block,inflation,Lancement du protocole Bitcoin,03/01/2009,
2010,7,CVE-2010-5137,dos,DOS via JSON-RPC,Type de faille : DOS ; Attaque par buffer overflow,28/07/2010
2010,7,CVE-2010-5139,dos,DOS via SigOp,Unlimited SigOp DoS via OP_CHECKMULTISIG opcodes,29/07/2010
2010,8,CVE-2010-5141,theft,GetBLOCK DoS,Type de faille : Theft ; getBlockHash could be overloaded causing,23/07/2010
2011,8,CVE-2011-4447,exposure,Wallet Exposure,Type de faille : Exposure ; Wallet non encryption,11/11/2011
2012,1,CVE-2012-1909,netset,Netset Corruption,Type de faille : Netset ; connection corrupting,17/03/2012
2012,5,CVE-2012-3789,dos,DOS via Orphan,Type de faille : DOS ; (Lack of) orphan tx resource limits,12/05/2012
2012,8,CVE-2012-2459,netset,Block Hash Collision,Type de faille : Netset ; Block hash collision (via merkle root),14/08/2012
2012,8,CVE-2012-4683,dos,Memory Exhaustion,Type de faille : DOS ; Memory exhaustion using alerts,23/08/2012
2012,8,CVE-2012-4684,dos,DOS Network-wide,Type de faille : DOS ; Network-wide DoS using hash signatures,24/08/2012
2012,9,CVE-2012-4692,dos,DOS Lack Info,Type de faille : DOS ; (Lack of information),16/09/2012
2013,1,CVE-2013-2292,dos,DOS via Blockchain,Type de faille : DOS ; DoS : Connection slot exhaustion at least 3 minutes to verify,30/01/2013
2013,2,CVE-2013-2273,exposure,Predictable Change Output,Type de faille : Exposure ; Predictable change output,20/02/2013
2013,3,CVE-2013-2293,netset,Remote Disclosure,Type de faille : Exposure ; Remote discovery of node's wallet addresses,11/03/2013
2013,5,CVE-2013-2292,dos,DOS via Large Fork,Type de faille : DOS ; Connection handshake takes at least 3 minutes to verify,05/01/2013
2013,5,CVE-2013-4627,dos,DOS Memory Exhaustion,Type de faille : DOS ; Memory exhaustion with excess tx message data,08/02/2013
2013,11,CVE-2013-4165,theft,Theft Timing Leak,Type de faille : Theft ; Timing leak in RPC,20/07/2013
2013,11,CVE-2013-5700,dos,DOS Remote p2p,Type de faille : DOS ; Remote p2p crash via bloom filters,05/09/2013
2014,2,BIP-0042,inflation,Satoshi codes imply a sideline behaviour,Fixed monetary supply inflation bug - https://en.bitcoin.it/wiki/BIP_0042,01/04/2014
2014,4,CVE-2014-0160,unknown,Remote Memory Leak,Type de faille : Unknown ; Remote memory leak via payment protocol,11/04/2016
2015,7,CVE-2015-3641,dos,DOS via Unauthenticated,Type de faille : DOS ; Unauthenticated yet...,09/07/2015
2016,11,CVE-2016-10724,fake-conf,Vulnérabilité DDOS,Type de faille : DDOS ; Vulnerability in system,11/11/2015
2016,11,CVE-2016-10725,fake-conf,DDOS Alert System,Type de faille : DDOS ; Vulnerability in system Alert system misbehave cancellation,02/07/2016
2016,7,CVE-2016-8889,exposure,Bitcoin Knots Exposure,Implementation [Bitcoin Knots 0.11.0 - 0.13.0],11/07/2016
2017,3,CVE-2017-12842,fake-conf,Fake SPV Proof,Type de faille : Fake SPV proof ; No coinbase merkle tree depth,06/02/2017
2017,3,BIP 145,fake-conf,Fake Conf & Soft,Type de faille : Fake Conf & Soft,12/03/2017
2017,7,CVE-2017-9230,unknown,Unknown Type,Type de faille : Unknown ; infoleak,26/11/2017
2017,11,CVE-2017-18350,unknown,Buffer Overflow,Type de faille : Unknown ; overflow from SOCKS proxy,22/06/2015
2018,5,CVE-2018-20587,theft,Theft via RPC,Type de faille : Theft ; Insufficient Access Control vulnerability,05/02/2018
2018,9,CVE-2018-17144,inflation,Inflation Bug,Type de faille : Inflation ; Missing check for duplicate inputs,17/09/2018
2018,11,CVE-2018-20586,fake-conf,Fake Conf,Type de faille : Fake Conf ; Unknown,21/11/2018
2010,9,CVE-2010-5140,dos,Never Confirming TX,Type de faille : DOS ; Never confirming transactions,01/09/2010
2010,7,CVE-2010-5144,dos,OP_RETURN Crash,Type de faille : DOS ; OP_RETURN used to spend output,28/07/2010
2010,7,CVE-2010-5138,dos,Unlimited SigOp,Type de faille : DOS ; Too many CHECKSIG commands,29/07/2010
2010,8,CVE-2010-5145,inflation,Combined Output Overflow,Type de faille : Inflation ; Netsplit ; Combined output overflow,15/08/2010
2010,8,CVE-2010-5143,dos,JSIF Crash,Type de faille : DOS ; JSIF crash,01/08/2010
2010,8,CVE-2010-5142,dos,OP_NOP Bug,Type de faille : DOS ; OP_NOP overflow,01/08/2010
2012,5,CVE-2012-1739,dos,Orphan Resource Leak,Type de faille : DOS ; Orphan tx resource exhaustion,12/05/2012
2012,3,CVE-2012-3210,fake-conf,DER Signature Soft Fork,Type de faille : Fake Conf ; Soft fork via DER signature rules,01/03/2012
2013,3,CVE-2013-3220,fake-conf,Soft Fork Race Condition,Type de faille : Fake Conf ; Race condition chain split,01/03/2013
2013,5,CVE-2013-3219,fake-conf,Invalid Rule Accepted,Type de faille : Fake Conf ; Accept invalid protocol rule,15/05/2013
2017,5,CVE-2017-7482,unknown,Proof-of-Work Bug,Type de faille : Unknown ; Violation of PoW assumptions,24/05/2017
